CODIGO_ENTIDAD,CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,NOMBRE_ENTIDAD,SIGLA_ENTIDAD,RUC_ENTIDAD,DIRECCION_ENTIDAD,...10
11041,81202,Cusco,QUISPICANCHI,ANDAHUAYLILLAS,Municipalidad Distrital de Andahuaylillas,MDA,20202187201,Plaza de armas s/n,
11042,81203,Cusco,QUISPICANCHI,CAMANTI,Municipalidad Distrital de Camanti,NULL,20170326076,Plaza de armas quincemil  244,
11043,81204,Cusco,QUISPICANCHI,CCARHUAYO,Municipalidad Distrital de Ccarhuayo,NULL,20221781211,Plaza de armas s/n,
11044,81205,Cusco,QUISPICANCHI,CCATCA,Municipalidad Distrital de Ccatca,MDCC,20226560824,Plaza de armas s/n,
11045,81206,Cusco,QUISPICANCHI,CUSIPATA,Municipalidad Distrital de Cusipata,NULL,20195485209,Plaza de armas de Cusipata s/n,
11047,81208,Cusco,QUISPICANCHI,LUCRE,Municipalidad Distrital de Lucre,NULL,20171798885,Plaza de armas s/n,
11048,81209,Cusco,QUISPICANCHI,MARCAPATA,Municipalidad Distrital de Marcapata,NULL,20214061474,Plaza de armas,
11049,81210,Cusco,QUISPICANCHI,OCONGATE,Municipalidad Distrital de Ocongate,MDO,20195499765,PLAZA DE ARMAS S/N OCONGATE,
11050,81211,Cusco,QUISPICANCHI,OROPESA,Municipalidad Distrital de Oropesa,MDO,20201000361,Plaza de armas 100,
11051,81212,Cusco,QUISPICANCHI,QUIQUIJANA,Municipalidad Distrital de Quiquijana,MDQ,20159386415,Plaza de armas Quiquijana s/n,
11053,81302,Cusco,URUBAMBA,CHINCHERO,Municipalidad Distrital de Chinchero,Munichinchero,20164370349,Plaza de Armas S/N Chinchero,
11054,81304,CUSCO,URUBAMBA,MACHUPICCHU,Municipalidad Distrital de Machupicchu,MD - MACHUPICCHU,20200554729,Plaza Manco Ccapac N° 101,
11055,81305,Cusco,URUBAMBA,MARAS,Municipalidad Distrital de Maras,MDM,20177432360,Plaza de armas s/n,
11056,81306,Cusco,URUBAMBA,OLLANTAYTAMBO,Municipalidad Distrital de Ollantaytambo,NULL,20200737211,Plaza de armas s/n,
11057,81307,Cusco,URUBAMBA,YUCAY,Municipalidad Distrital de Yucay,NULL,20159377424,Av. San Martin 907,
11059,110102,ICA,ICA,LA TINGUIÑA,Municipalidad Distrital de La Tinguiña,MDLT,20175231987,Av. El Parque N°627 - La Tinguiña,
11060,110103,ICA,ICA,LOS AQUIJES,Municipalidad Distrital de Los Aquijes,MDLA,20195122238,Av. Municipalidad 111,
11061,110104,ICA,ICA,OCUCAJE,Municipalidad Distrital de Ocucaje,NULL,20176310040,Panamericana Sur  Cercado de Ocucaje Km. 335,
11062,110105,ICA,ICA,PACHACUTEC,Municipalidad Distrital de Pachacutec,NULL,20194063939,Manco Capac s/n,
11063,110106,ICA,ICA,PARCONA,Municipalidad Distrital de Parcona,MD - PARCONA,20175239023,Jhon F. Kennedy  500,
11064,110107,ICA,ICA,PUEBLO NUEVO,Municipalidad Distrital de Pueblo Nuevo - Ica,MD - PNUEVO,20368105563,Av. El Carmen  s/n,
11065,110108,ICA,ICA,SALAS,Municipalidad Distrital de Salas - Ica,MD - SALAS,20189111321,Esquina Municipalidad y calle Lima s/n,
11066,110109,ICA,ICA,SAN JOSE DE LOS MOLINOS,Municipalidad Distrital de San José de los Molinos,MDSJM,20198806481,Diez de Noviembre s/n,
11067,110110,ICA,ICA,SAN JUAN BAUTISTA,Municipalidad Distrital de San Juan Bautista - Ica,MD-SJBAUTISTA,20148420981,Calle Alfonso Ugarte 113,
11068,110111,ICA,ICA,SANTIAGO,Municipalidad Distrital de Santiago - ICA,MDS - SANTIAGO,20147711159,Panamericana sur km. 318 plaza de armas,
11069,110112,ICA,ICA,SUBTANJALLA,Municipalidad Distrital de  Subtanjalla,MDSubtanjalla,20175229907,Av. Municipalidad 200,
11070,110113,ICA,ICA,TATE,Municipalidad Distrital de Tate,MD-TATE,20198515168,"Av. Principal Mz ""O"", Lt 13 - Distrito de Tate.",
11071,110114,ICA,ICA,YAUCA DEL ROSARIO,Municipalidad Distrital de Yauca del Rosario,NULL,20193995242,N/E,
11072,110201,ICA,CHINCHA,CHINCHA ALTA,Municipalidad Provincial de Chincha,MP-CHINCHA,20146898697,Plaza de armas N° 100,
11073,110202,ICA,CHINCHA,ALTO LARAN,Municipalidad Distrital de Alto Laran,munialtolaran,NULL,Plaza de armas 150,
11074,110203,ICA,CHINCHA,CHAVIN,Municipalidad Distrital de Chavin,NULL,20192391521,Plaza de armas s/n,
11075,110204,ICA,CHINCHA,CHINCHA BAJA,Municipalidad Distrital de Chincha Baja,chinchabaja,20178826353,Plaza de armas  148,
11076,110205,ICA,CHINCHA,EL CARMEN,Municipalidad Distrital de El Carmen,MDDEC,20188799729,Plaza de armas 127,
11077,110206,ICA,CHINCHA,GROCIO PRADO,Municipalidad Distrital de Grocio Prado,MD - GPRADO,20188808817,Plaza de Armas Nº101,
11078,110207,ICA,CHINCHA,PUEBLO NUEVO,Municipalidad Distrital de Pueblo Nuevo - Chincha,MDPN,20147676574,Av. Oscar R. Benavides N° 699,
11079,110208,ICA,CHINCHA,SAN JUAN DE YANAC,Municipalidad Distrital de San Juan de Yanac,MDSJY,,Plaza de Armas s/n,
11080,110209,ICA,CHINCHA,SAN PEDRO DE HUACARPANA,Municipalidad Distrital de San Pedro de Huacarpana,NULL,20278758401,Av. Progreso s/n,
11082,120104,JUNIN,HUANCAYO,CARHUACALLANGA,Municipalidad Distrital de Carhuacallanga,NULL,20318766569,Plaza principal nª 6  3er piso  int. 14,
11083,120106,JUNIN,HUANCAYO,CHICCHE,Municipalidad Distrital de Chicche,NULL,20228778525,Plaza principal s/n,
11084,120105,JUNIN,HUANCAYO,CHACAPAMPA,Municipalidad Distrital de Chacapampa,MDChacapampa,20281982568,Plaza principal Chacapampa s/n,
11085,120107,JUNIN,HUANCAYO,CHILCA,Municipalidad Distrital de Chilca - Junin,MDCH,20133696661,Av. Huancavelica N° 606,
11086,120108,JUNIN,HUANCAYO,CHONGOS ALTO,Municipalidad Distrital de Chongos Alto,NULL,20223724591,Real s/n,
11087,120111,JUNIN,HUANCAYO,CHUPURO,Municipalidad Distrital de Chupuro,NULL,20202667750,Plaza principal s/n,
11088,120112,JUNIN,HUANCAYO,COLCA,Municipalidad Distrital de Colca,NULL,20318814717,Plaza principal calle San Martin s/n,
11089,120113,JUNIN,HUANCAYO,CULLHUAS,Municipalidad Distrital de Cullhuas,MDC,20223353593,23 de abril 396 - CULLHUAS,
11090,120114,JUNIN,HUANCAYO,EL TAMBO,Municipalidad Distrital de El Tambo,MDT,20133696742,Av. Mariscal Castilla 1920,
11091,120116,JUNIN,HUANCAYO,HUACRAPUQUIO,Municipalidad Distrital de Huacrapuquio,MDHuacrapuquio,20180401238,Av.principal s/n,
11092,120117,JUNIN,HUANCAYO,HUALHUAS,Municipalidad Distrital de Hualhuas,MD - HUALHUAS,20204039268,Av. Alfonso Ugarte s/n,
11093,120119,JUNIN,HUANCAYO,HUANCAN,Municipalidad Distrital de Huancan,MDH,20185646964,PLAZA PRINCIPAL S/N HUANCAN,
